check,pass,details
unique_trip_ids,True,
exact_once_box_coverage,True,
delivery_known_trip/S001-FOD-01,True,
delivery_known_trip/S001-FOD-02,True,
delivery_known_trip/S001-FOD-03,True,
delivery_known_trip/S001-HYG-01,True,
delivery_known_trip/S001-HYG-02,True,
delivery_known_trip/S001-MED-01,True,
delivery_known_trip/S001-MED-02,True,
delivery_known_trip/S001-WAT-01,True,
delivery_known_trip/S001-WAT-02,True,
delivery_known_trip/S001-WAT-03,True,
delivery_known_trip/S001-WAT-04,True,
delivery_known_trip/S001-WAT-05,True,
delivery_known_trip/S001-WAT-06,True,
delivery_known_trip/S001-WAT-07,True,
delivery_known_trip/S001-WAT-08,True,
delivery_known_trip/S002-FOD-01,True,
delivery_known_trip/S002-FOD-02,True,
delivery_known_trip/S002-HYG-01,True,
delivery_known_trip/S002-MED-01,True,
delivery_known_trip/S002-WAT-01,True,
delivery_known_trip/S002-WAT-02,True,
delivery_known_trip/S002-WAT-03,True,
delivery_known_trip/S002-WAT-04,True,
delivery_known_trip/S003-FOD-01,True,
delivery_known_trip/S003-FOD-02,True,
delivery_known_trip/S003-HYG-01,True,
delivery_known_trip/S003-MED-01,True,
delivery_known_trip/S003-WAT-01,True,
delivery_known_trip/S003-WAT-02,True,
delivery_known_trip/S003-WAT-03,True,
delivery_known_trip/S003-WAT-04,True,
delivery_known_trip/S004-FOD-01,True,
delivery_known_trip/S004-HYG-01,True,
delivery_known_trip/S004-MED-01,True,
delivery_known_trip/S004-WAT-01,True,
delivery_known_trip/S004-WAT-02,True,
delivery_known_trip/S004-WAT-03,True,
delivery_known_trip/S005-FOD-01,True,
delivery_known_trip/S005-HYG-01,True,
delivery_known_trip/S005-MED-01,True,
delivery_known_trip/S005-WAT-01,True,
delivery_known_trip/S005-WAT-02,True,
delivery_known_trip/S005-WAT-03,True,
delivery_known_trip/S006-FOD-01,True,
delivery_known_trip/S006-HYG-01,True,
delivery_known_trip/S006-MED-01,True,
delivery_known_trip/S006-WAT-01,True,
delivery_known_trip/S006-WAT-02,True,
delivery_known_trip/S006-WAT-03,True,
delivery_known_trip/S007-FOD-01,True,
delivery_known_trip/S007-HYG-01,True,
delivery_known_trip/S007-MED-01,True,
delivery_known_trip/S007-WAT-01,True,
delivery_known_trip/S007-WAT-02,True,
delivery_known_trip/S008-FOD-01,True,
delivery_known_trip/S008-HYG-01,True,
delivery_known_trip/S008-MED-01,True,
delivery_known_trip/S008-WAT-01,True,
delivery_known_trip/S008-WAT-02,True,
delivery_known_trip/S009-FOD-01,True,
delivery_known_trip/S009-MED-01,True,
delivery_known_trip/S009-WAT-01,True,
