service_id,model_id,reserve_fraction,max_safe_payload_kg,limiting_factor,empty_trip_energy_kwh,rated_payload_trip_energy_kwh,energy_budget_kwh,full_payload_reserve_threshold
S001,A,0.2,25.0,rated_payload,1.1615356083277455,1.3127180160965892,3.6,0.7082848853118691
S001,B,0.2,30.0,rated_payload,0.9302326639048648,1.2739487146258892,3.2,0.6815128213435278
S001,C,0.2,80.0,rated_payload,1.9413861017800969,3.0816969508470398,6.4,0.6147878811441201
S002,A,0.2,25.0,rated_payload,2.739790719328048,3.0904496148957192,3.6,0.31323341891206236
S002,B,0.2,30.0,rated_payload,2.1841134458433844,2.998762333280492,3.2,0.25030941667987705
S002,C,0.2,68.86034271749946,energy,4.63242293374499,7.347773113803224,6.4,0.08152836077459702
S003,A,0.2,25.0,rated_payload,2.788912072244866,3.1568292282534296,3.6,0.2984823937214601
S003,B,0.2,30.0,rated_payload,2.236921074623237,3.0644077594676205,3.2,0.2338980601330949
S003,C,0.2,68.20649055519672,energy,4.643567502378621,7.382299706399966,6.4,0.07721253670000428
S004,A,0.2,25.0,rated_payload,2.893986891026764,3.266746121100156,3.6,0.2740564175332987
S004,B,0.2,30.0,rated_payload,2.3125597141391614,3.1698518015231736,3.2,0.2075370496192066
S004,C,0.2,63.696955451122314,energy,4.86403496768026,7.715326427745843,6.4,0.035584196531769585
S005,A,0.2,25.0,rated_payload,1.9884778431469632,2.2449067932100992,3.6,0.5011318237310891
S005,B,0.2,30.0,rated_payload,1.5899570888454893,2.1782983689950774,3.2,0.45542540775123064
S005,C,0.2,80.0,rated_payload,3.3369386727949415,5.292706404246814,6.4,0.3384116994691483
S006,A,0.2,25.0,rated_payload,1.2237841813318802,1.3897202893689586,3.6,0.6911732690291204
S006,B,0.2,30.0,rated_payload,0.9816123425709354,1.3500598782682744,3.2,0.6624850304329314
S006,C,0.2,80.0,rated_payload,2.0373830897441003,3.2533316961761063,6.4,0.5933335379779867
S007,A,0.2,25.0,rated_payload,1.7775205488883052,2.0179304550202604,3.6,0.5515710099954977
S007,B,0.2,30.0,rated_payload,1.4303095678652682,1.959775645345784,3.2,0.510056088663554
S007,C,0.2,80.0,rated_payload,2.935344709942727,4.67944916321055,6.4,0.41506885459868126
S008,A,0.2,25.0,rated_payload,3.000440754171044,3.387198474454061,3.6,0.24728922789909757
S008,B,0.2,28.801233623268978,energy,2.3937133776982717,3.28716554458381,3.2,0.17820861385404752
S008,C,0.2,58.904360963127246,energy,5.063570105647242,8.037979775028692,6.4,-0.0047474718785864845
S009,A,0.2,25.0,rated_payload,2.114457124007046,2.3868506711346282,3.6,0.4695887397478604
S009,B,0.2,30.0,rated_payload,1.686317431267373,2.3163773915300507,3.2,0.4209056521174873
S009,C,0.2,80.0,rated_payload,3.5713767974293753,5.669496029358936,6.4,0.29131299633013297
S010,A,0.2,25.0,rated_payload,1.8262637901312624,2.070702414692441,3.6,0.5398439078461241
S010,B,0.2,30.0,rated_payload,1.4634266266134643,2.0110147024885303,3.2,0.4972463243778674
S010,C,0.2,80.0,rated_payload,3.048001816708691,4.8587491290527485,6.4,0.39265635886840644
S011,A,0.2,25.0,rated_payload,1.0773840288682708,1.219611198623189,3.6,0.7289752891948469
S011,B,0.2,30.0,rated_payload,0.8640358497902857,1.1839375412901267,3.2,0.7040156146774683
S011,C,0.2,80.0,rated_payload,1.7944280191744035,2.8532189205132936,6.4,0.6433476349358382
S012,A,0.2,25.0,rated_payload,2.771609930289653,3.1312050670032456,3.6,0.30417665177705655
S012,B,0.2,30.0,rated_payload,2.214671053330072,3.038937061322884,3.2,0.24026573466927903
S012,C,0.2,68.11719340245507,energy,4.658869188810118,7.3983398392068604,6.4,0.07520752009914244
S013,A,0.2,25.0,rated_payload,1.8302304721268365,2.0741334613822624,3.6,0.5390814530261638
S013,B,0.2,30.0,rated_payload,1.4639650943665805,2.014351276377342,3.2,0.4964121809056645
S013,C,0.2,80.0,rated_payload,3.068531652662166,4.8914839898359554,6.4,0.38856450127050557
S014,A,0.2,25.0,rated_payload,2.137884312576034,2.4256925813161256,3.6,0.46095720415197206
S014,B,0.2,30.0,rated_payload,1.7219404857073681,2.35532353551769,3.2,0.4111691161205775
S014,C,0.2,80.0,rated_payload,3.521700352039938,5.60776224737396,6.4,0.29902971907825504
S015,A,0.2,25.0,rated_payload,2.3068108780111825,2.619252919750979,3.6,0.41794379561089356
S015,B,0.2,30.0,rated_payload,1.850154356674541,2.5444405875398317,3.2,0.3638898531150421
S015,C,0.2,80.0,rated_payload,3.841309932619819,6.132987718342666,6.4,0.23337653520716672
